2023 National Employment Matrix title,2023 National Employment Matrix code,Occupation type,"Employment, 2023","Employment, 2033","Employment distribution, percent, 2023","Employment distribution, percent, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Percent self employed, 2023","Occupational openings, 2023–33 annual average","Median annual wage, dollars, 2023[1]",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Major Occupation Group
"Total, all occupations",00-0000,Total,167849.8,174589.0,100.0,100.0,6739.2,4.0,5.8,19174.8,48060.0,—,—,—,
  Management occupations,11-0000,Summary,13181.3,14140.9,7.9,8.1,959.6,7.3,15.1,1160.0,116880.0,—,—,—,
  Business and financial operations occupations,13-0000,Summary,10977.2,11738.5,6.5,6.7,761.3,6.9,4.1,963.5,79050.0,—,—,—,
  Computer and mathematical occupations,15-0000,Summary,5417.6,6116.7,3.2,3.5,699.0,12.9,2.1,393.9,104200.0,—,—,—,
  Architecture and engineering occupations,17-0000,Summary,2639.7,2819.7,1.6,1.6,180.0,6.8,2.3,195.0,91420.0,—,—,—,
"  Life, physical, and social science occupations",19-0000,Summary,1574.1,1691.7,0.9,1.0,117.6,7.5,5.2,148.4,78280.0,—,—,—,
  Community and social service occupations,21-0000,Summary,3044.7,3291.7,1.8,1.9,247.0,8.1,3.8,299.4,52000.0,—,—,—,
  Legal occupations,23-0000,Summary,1394.4,1446.2,0.8,0.8,51.8,3.7,9.0,85.6,99220.0,—,—,—,
  Educational instruction and library occupations,25-0000,Summary,9579.9,9731.2,5.7,5.6,151.3,1.6,1.7,868.0,59940.0,—,—,—,
"  Arts, design, entertainment, sports, and media occupations",27-0000,Summary,3073.1,3203.2,1.8,1.8,130.1,4.2,26.0,306.3,58920.0,—,—,—,
  Healthcare practitioners and technical occupations,29-0000,Summary,9781.6,10623.3,5.8,6.1,841.7,8.6,2.3,640.9,80820.0,—,—,—,
  Healthcare support occupations,31-0000,Summary,7516.9,8659.3,4.5,5.0,1142.4,15.2,2.5,1261.1,36140.0,—,—,—,
  Protective service occupations,33-0000,Summary,3630.7,3704.7,2.2,2.1,74.0,2.0,0.2,419.3,47760.0,—,—,—,
  Food preparation and serving related occupations,35-0000,Summary,13580.3,14167.2,8.1,8.1,586.8,4.3,0.6,2683.4,32240.0,—,—,—,
  Building and grounds cleaning and maintenance occupations,37-0000,Summary,5640.5,5817.4,3.4,3.3,176.9,3.1,12.0,786.8,35990.0,—,—,—,
  Personal care and service occupations,39-0000,Summary,4346.2,4622.3,2.6,2.6,276.1,6.4,21.6,794.5,34260.0,—,—,—,
  Sales and related occupations,41-0000,Summary,14609.5,14319.5,8.7,8.2,-290.0,-2.0,7.4,1817.3,36760.0,—,—,—,
  Office and administrative support occupations,43-0000,Summary,19671.9,18975.6,11.7,10.9,-696.3,-3.5,2.0,2073.7,44480.0,—,—,—,
"  Farming, fishing, and forestry occupations",45-0000,Summary,982.9,964.5,0.6,0.6,-18.4,-1.9,8.2,145.2,35520.0,—,—,—,
  Construction and extraction occupations,47-0000,Summary,7338.3,7752.3,4.4,4.4,414.0,5.6,13.9,663.5,55680.0,—,—,—,
"  Installation, maintenance, and repair occupations",49-0000,Summary,6460.3,6803.5,3.8,3.9,343.3,5.3,4.5,606.2,53920.0,—,—,—,
  Production occupations,51-0000,Summary,9093.6,8999.5,5.4,5.2,-94.1,-1.0,2.9,970.1,43630.0,—,—,—,
  Transportation and material moving occupations,53-0000,Summary,14315.1,15000.1,8.5,8.6,685.1,4.8,3.9,1892.9,40050.0,—,—,—,
      Chief executives,11-1011,Line item,313.9,331.1,0.2,0.2,17.2,5.5,28.1,23.0,206680.0,Bachelor's degree,5 years or more,,Management
      General and operations managers,11-1021,Line item,3630.1,3840.5,2.2,2.2,210.4,5.8,0.5,320.8,101280.0,Bachelor's degree,5 years or more,,Management
      Legislators,11-1031,Line item,33.7,35.0,0.0,0.0,1.4,4.1,,2.7,47290.0,Bachelor's degree,Less than 5 years,,Management
      Advertising and promotions managers,11-2011,Line item,22.2,21.7,0.0,0.0,-0.6,-2.6,6.2,1.8,131870.0,Bachelor's degree,Less than 5 years,,Management
        Marketing managers,11-2021,Line item,389.1,420.8,0.2,0.2,31.7,8.2,3.2,34.8,157620.0,Bachelor's degree,5 years or more,,Management
        Sales managers,11-2022,Line item,584.8,619.1,0.3,0.4,34.3,5.9,0.1,48.6,135160.0,Bachelor's degree,Less than 5 years,,Management
        Public relations managers,11-2032,Line item,78.4,83.8,0.0,0.0,5.4,6.9,,6.0,134760.0,Bachelor's degree,5 years or more,,Management
        Fundraising managers,11-2033,Line item,38.2,40.5,0.0,0.0,2.3,5.9,,2.9,119200.0,Bachelor's degree,5 years or more,,Management
        Administrative services managers,11-3012,Line item,256.8,272.8,0.2,0.2,16.0,6.2,,22.7,106470.0,Bachelor's degree,Less than 5 years,,Management
        Facilities managers,11-3013,Line item,140.5,147.9,0.1,0.1,7.4,5.3,0.7,12.5,102340.0,Bachelor's degree,Less than 5 years,,Management
      Computer and information systems managers,11-3021,Line item,613.5,720.4,0.4,0.4,106.9,17.4,1.0,54.7,169510.0,Bachelor's degree,5 years or more,,Management
      Financial managers,11-3031,Line item,837.1,975.3,0.5,0.6,138.3,16.5,2.4,75.1,156100.0,Bachelor's degree,5 years or more,,Management
      Industrial production managers,11-3051,Line item,230.1,236.7,0.1,0.1,6.5,2.8,1.4,17.1,116970.0,Bachelor's degree,5 years or more,,Management
      Purchasing managers,11-3061,Line item,81.3,85.4,0.0,0.0,4.1,5.1,3.8,6.5,136380.0,Bachelor's degree,5 years or more,,Management
"      Transportation, storage, and distribution managers",11-3071,Line item,211.8,230.8,0.1,0.1,19.1,9.0,3.7,19.7,99200.0,High school diploma or equivalent,5 years or more,,Management
      Compensation and benefits managers,11-3111,Line item,19.1,19.5,0.0,0.0,0.4,2.1,,1.3,136380.0,Bachelor's degree,5 years or more,,Management
      Human resources managers,11-3121,Line item,208.9,222.5,0.1,0.1,13.5,6.5,1.1,17.4,136350.0,Bachelor's degree,5 years or more,,Management
      Training and development managers,11-3131,Line item,43.2,46.4,0.0,0.0,3.2,7.3,,3.6,125040.0,Bachelor's degree,5 years or more,,Management
"      Farmers, ranchers, and other agricultural managers",11-9013,Line item,856.6,842.9,0.5,0.5,-13.8,-1.6,65.2,88.5,83770.0,High school diploma or equivalent,5 years or more,,Management
      Construction managers,11-9021,Line item,520.9,568.5,0.3,0.3,47.6,9.1,35.8,45.8,104900.0,Bachelor's degree,,Moderate-term on-the-job training,Management
"        Education and childcare administrators, preschool and daycare",11-9031,Line item,80.9,79.2,0.0,0.0,-1.7,-2.1,5.9,5.1,54290.0,Bachelor's degree,Less than 5 years,,Management
"        Education administrators, kindergarten through secondary",11-9032,Line item,316.6,315.0,0.2,0.2,-1.6,-0.5,1.4,20.8,103460.0,Master's degree,5 years or more,,Management
"        Education administrators, postsecondary",11-9033,Line item,216.4,222.7,0.1,0.1,6.2,2.9,2.7,15.2,102610.0,Master's degree,Less than 5 years,,Management
"        Education administrators, all other",11-9039,Line item,57.7,59.1,0.0,0.0,1.4,2.5,4.3,4.0,88460.0,Bachelor's degree,Less than 5 years,,Management
      Architectural and engineering managers,11-9041,Line item,210.2,221.8,0.1,0.1,11.6,5.5,,15.0,165370.0,Bachelor's degree,5 years or more,,Management
      Food service managers,11-9051,Line item,393.6,399.5,0.2,0.2,5.9,1.5,36.4,44.5,63060.0,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training,Management
        Gambling managers,11-9071,Line item,5.3,5.5,0.0,0.0,0.3,5.1,9.5,0.7,82380.0,High school diploma or equivalent,Less than 5 years,,Management
