occupational_code,education,importance
11-1011,Less than a High School Diploma,0.0
11-1011,"High School Diploma - or the equivalent (for example, GED)",4.46
11-1011,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
11-1011,Some College Courses,0.0
11-1011,Associate's Degree (or other 2-year degree),5.15
11-1011,Bachelor's Degree,32.29
11-1011,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
11-1011,Master's Degree,45.91
11-1011,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,3.94
11-1011,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.55
11-1011,Doctoral Degree,4.92
11-1011,Post-Doctoral Training,2.78
11-1021,Less than a High School Diploma,10.35
11-1021,"High School Diploma - or the equivalent (for example, GED)",28.76
11-1021,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",5.72
11-1021,Some College Courses,21.59
11-1021,Associate's Degree (or other 2-year degree),5.99
11-1021,Bachelor's Degree,27.3
11-1021,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.14
11-1021,Master's Degree,0.15
11-1021,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
11-1021,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
11-1021,Doctoral Degree,0.0
11-1021,Post-Doctoral Training,0.0
11-1031,,
11-2011,Less than a High School Diploma,6.16
11-2011,"High School Diploma - or the equivalent (for example, GED)",9.82
11-2011,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
11-2011,Some College Courses,7.67
11-2011,Associate's Degree (or other 2-year degree),8.04
11-2011,Bachelor's Degree,60.02
11-2011,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,2.42
11-2011,Master's Degree,5.87
11-2011,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
11-2011,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
11-2011,Doctoral Degree,0.0
11-2011,Post-Doctoral Training,0.0
11-2021,Less than a High School Diploma,0.0
11-2021,"High School Diploma - or the equivalent (for example, GED)",3.53
11-2021,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
11-2021,Some College Courses,2.8
11-2021,Associate's Degree (or other 2-year degree),3.03
