occupational_code,skill,importance
11-1011,Reading Comprehension,4.12
11-1011,Writing,4.12
11-1011,Speaking,4.25
11-1011,Critical Thinking,4.38
11-1011,Social Perceptiveness,4.12
11-1011,Coordination,4.25
11-1011,Negotiation,4.12
11-1011,Complex Problem Solving,4.38
11-1011,Judgment and Decision Making,4.75
11-1011,Systems Analysis,4.12
11-1011,Systems Evaluation,4.25
11-1011,Management of Financial Resources,4.25
11-1011,Management of Personnel Resources,4.25
11-1021,,
11-1031,,
11-2011,Active Listening,4.12
11-2021,,
11-2022,Persuasion,4.12
11-2032,,
11-2033,,
11-3012,,
11-3013,,
11-3021,Critical Thinking,4.12
11-3031,,
11-3051,,
11-3061,,
11-3071,,
11-3111,,
11-3121,Active Listening,4.12
11-3121,Speaking,4.12
11-3121,Management of Personnel Resources,4.12
11-3131,Learning Strategies,4.25
11-9013,,
11-9021,,
11-9031,,
11-9032,Reading Comprehension,4.25
11-9032,Active Listening,4.38
11-9032,Writing,4.12
11-9032,Speaking,4.38
11-9032,Critical Thinking,4.25
11-9032,Learning Strategies,4.25
11-9032,Social Perceptiveness,4.25
11-9032,Judgment and Decision Making,4.12
11-9033,Reading Comprehension,4.12
11-9033,Critical Thinking,4.12
11-9039,,
11-9041,Reading Comprehension,4.12
11-9051,,
11-9071,,
11-9072,,
11-9081,Active Listening,4.12
11-9081,Service Orientation,4.12
11-9111,Speaking,4.12
11-9111,Critical Thinking,4.12
11-9121,Science,4.12
11-9131,,
11-9141,,
11-9151,,
11-9161,Speaking,4.12
11-9161,Service Orientation,4.25
11-9161,Complex Problem Solving,4.12
11-9171,,
11-9179,,
11-9199,,
13-1011,,
13-1021,,
13-1022,,
13-1023,,
13-1031,Reading Comprehension,4.12
13-1032,,
13-1041,,
13-1051,,
13-1071,Speaking,4.12
13-1074,,
13-1075,Active Listening,4.38
13-1075,Speaking,4.25
13-1075,Negotiation,4.12
13-1081,,
13-1082,,
13-1111,Reading Comprehension,4.12
13-1111,Active Listening,4.12
13-1111,Critical Thinking,4.12
13-1121,,
13-1131,Speaking,4.12
13-1141,,
13-1151,Speaking,4.38
13-1151,Learning Strategies,4.12
13-1151,Instructing,4.38
13-1161,,
13-1199,,
13-2011,,
13-2022,,
13-2023,,
13-2031,,
13-2041,,
13-2051,,
13-2052,Reading Comprehension,4.12
13-2052,Active Listening,4.12
13-2053,,
13-2054,,
